   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
 1000.0     27   41.6   12.6     18   9.24    300      8  314.8  344.0  316.5
  998.0     46   39.4   16.4     26  11.89    303      8  312.7  349.8  315.0
  986.0    157   38.2   15.2     26  11.13    324      5  312.6  347.3  314.7
  965.0    353   36.6   14.3     26  10.69      0      0  312.9  346.3  314.9
  925.0    739   33.4   12.4     28   9.87    280      1  313.4  344.4  315.3
  882.0   1165   30.4    2.9     17   5.36      5     10  314.6  331.9  315.6
  860.0   1391   28.8   -2.2     13   3.80      5     11  315.2  327.7  316.0
  850.0   1494   27.8   -3.2     13   3.57      5     11  315.2  327.0  315.9
  802.0   1995   23.6   -4.1     16   3.54     10     10  316.1  327.8  316.8
  787.0   2158   22.2   -4.4     16   3.52    355     12  316.3  328.0  317.0
  704.0   3119   14.2   -6.1     24   3.46    105     10  317.7  329.2  318.3
  700.0   3168   13.8   -6.2     24   3.45    100     10  317.7  329.2  318.4
  693.0   3251   13.0   -6.2     26   3.49    100     11  317.8  329.4  318.5
  664.0   3606    9.8   -6.1     32   3.67    125     10  318.1  330.3  318.8
  632.0   4015    6.1   -6.0     42   3.88    130     12  318.4  331.2  319.1
  623.0   4134    5.0   -6.0     45   3.94    123     12  318.4  331.5  319.2
  607.0   4345    3.3   -8.8     41   3.26    110     13  318.9  329.8  319.5
  580.0   4713    0.4  -13.6     34   2.32    121     18  319.6  327.6  320.1
  570.0   4852   -0.7   -8.9     54   3.44    125     20  319.9  331.5  320.6
  561.0   4979   -1.7   -4.6     81   4.87    121     23  320.2  336.3  321.1
  550.0   5137   -2.7  -12.7     46   2.63    117     27  320.8  329.8  321.3
  546.0   5194   -2.9  -13.1     45   2.56    115     28  321.3  330.1  321.8
  535.0   5356   -3.3  -14.3     42   2.37    147     21  322.6  330.9  323.1
  527.0   5475   -4.3  -15.3     42   2.22    170     15  322.8  330.6  323.3
  518.0   5610   -4.7  -16.7     39   2.01    197      9  323.9  331.0  324.4
  515.0   5656   -3.1  -48.1      2   0.10    206      7  326.4  326.8  326.4
  507.0   5780   -2.7  -46.5      2   0.12    230      1  328.3  328.8  328.4
  502.0   5858   -2.5  -45.5      2   0.13    291      3  329.6  330.1  329.6
  500.0   5890   -2.7  -45.7      2   0.13    315      4  329.7  330.2  329.7
  483.0   6163   -4.3  -46.3      2   0.12    330      3  331.0  331.5  331.0
  480.0   6213   -4.7  -22.7     23   1.29    332      2  331.1  335.9  331.3
  476.0   6278   -4.9  -34.9      7   0.42    336      2  331.6  333.3  331.7
  470.0   6378   -5.7  -20.7     30   1.57    341      2  331.8  337.6  332.2
  450.0   6717   -8.8  -20.4     39   1.69      0      0  332.1  338.2  332.4
  447.0   6769   -9.3  -20.3     40   1.71      9      0  332.1  338.3  332.4
  424.0   7176  -12.3  -26.3     30   1.06     78      2  333.3  337.3  333.5
  403.0   7563  -13.7  -34.7     15   0.50    145      4  336.4  338.4  336.5
  400.0   7620  -13.5  -39.5      9   0.31    155      4  337.4  338.6  337.4
  376.0   8082  -16.2  -46.9      5   0.15    250     10  339.8  340.5  339.9
  369.0   8222  -17.0  -49.1      4   0.12    235     12  340.6  341.1  340.6
  360.0   8407  -18.1  -52.0      3   0.09    230     10  341.6  341.9  341.6
  340.0   8833  -20.5  -58.8      2   0.04    270     13  343.8  344.0  343.8
  330.0   9056  -21.8  -62.4      1   0.03    305     10  345.0  345.1  345.0
  328.0   9102  -22.1  -63.1      1   0.02    305     10  345.2  345.3  345.2
  300.0   9750  -27.1  -62.1      2   0.03    300      9  347.1  347.2  347.1
  258.0  10821  -36.1  -58.1      9   0.06    304      9  349.1  349.4  349.1
  250.0  11040  -37.9  -60.9      7   0.04    305      9  349.6  349.8  349.6
  227.0  11689  -42.6  -63.0      9   0.04    190     10  352.2  352.4  352.2
  217.0  11992  -44.8  -64.0     10   0.03    140     10  353.4  353.6  353.4
  204.0  12407  -47.7  -65.3     12   0.03    115     10  355.0  355.1  355.0
  200.0  12540  -48.7  -65.7     12   0.03    115     11  355.5  355.6  355.5
  178.0  13285  -55.6  -68.7     18   0.02    130     11  356.3  356.4  356.3
  170.0  13578  -58.3  -69.9     21   0.02    120     15  356.5  356.6  356.5
  162.0  13886  -61.1  -71.1     25   0.02    114     12  356.7  356.8  356.7
  156.0  14119  -62.9  -73.8     21   0.01    110     10  357.6  357.6  357.6
  150.0  14360  -64.7  -76.7     18   0.01    120      9  358.4  358.5  358.4
  146.0  14523  -65.7  -77.5     18   0.01    120      9  359.5  359.5  359.5
  140.0  14776  -67.3  -78.7     19   0.01    105     14  361.1  361.1  361.1
  134.0  15039  -68.9  -79.9     19   0.01    117     22  362.7  362.7  362.7
  130.0  15216  -70.0  -80.6     20   0.00    125     27  363.9  364.0  363.9
  121.0  15632  -72.5  -82.1     22   0.00    110     23  366.8  366.8  366.8
  107.0  16347  -76.9  -84.8     28   0.00    140     21  371.6  371.7  371.6
  100.0  16740  -79.3  -86.3     31   0.00    100     14  374.3  374.3  374.3
