   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K
 1010.0     16   24.2   22.4     90  17.21    195      7  296.5  346.3  299.6
 1000.0    123   24.0   22.4     91  17.39    155     10  297.1  347.6  300.2
  995.0    167   23.7   22.0     90  17.07    165     10  297.3  346.8  300.3
  939.0    676   20.0   17.6     86  13.67    217     18  298.5  338.4  300.9
  936.0    704   20.2   17.3     83  13.44    220     18  299.0  338.3  301.4
  925.0    807   21.0   16.1     74  12.60    230     19  300.8  338.0  303.1
  913.0    920   21.0   15.0     69  11.88    235     21  301.9  337.2  304.1
  888.0   1158   19.8   14.2     70  11.58    245     25  303.0  337.6  305.1
  850.0   1533   17.8   12.9     73  11.12    245     25  304.8  338.3  306.8
  779.0   2263   13.0    9.1     77   9.41    255     18  307.4  336.1  309.1
  707.0   3075    7.7    4.9     82   7.76    285     19  310.1  334.3  311.6
  700.0   3158    7.2    4.5     83   7.60    280     21  310.4  334.1  311.9
  687.0   3311    6.1    3.8     85   7.38    265     21  310.9  334.0  312.3
  640.0   3890    2.1    1.3     94   6.60    275     23  312.6  333.5  313.9
  637.0   3928    1.8    1.1     95   6.55    274     23  312.8  333.5  314.0
  607.0   4318    1.2    0.6     96   6.63    263     18  316.4  337.7  317.7
  580.0   4683   -1.5   -1.5    100   5.95    253     13  317.4  336.6  318.5
  572.0   4794   -1.7   -1.7    100   5.92    250     12  318.4  337.6  319.5
  548.0   5136   -2.5   -2.5    100   5.85    254     12  321.4  340.6  322.5
  507.0   5750   -5.5   -5.8     98   4.92    260     12  324.9  341.4  325.9
  500.0   5860   -6.1   -6.4     98   4.77    260     10  325.5  341.6  326.5
  478.0   6212   -7.7   -8.2     96   4.34    245      9  327.8  342.6  328.6
  429.0   7043  -12.6  -13.5     93   3.17    210      8  331.9  343.0  332.5
  406.0   7466  -15.0  -16.2     91   2.68    260     10  333.9  343.5  334.5
  400.0   7580  -15.7  -16.9     90   2.56    280     12  334.5  343.7  335.0
  391.0   7752  -16.5  -17.8     90   2.43    308     11  335.6  344.4  336.1
  372.0   8118  -19.1  -20.5     88   2.03     10     10  337.1  344.5  337.5
  360.0   8360  -20.7  -22.3     88   1.79     25      4  338.0  344.6  338.3
  355.0   8462  -21.5  -23.0     87   1.70     55      4  338.4  344.7  338.7
  349.0   8588  -22.3  -23.9     87   1.59     50      6  338.8  344.8  339.1
  305.0   9578  -29.2  -31.2     83   0.93    105      8  342.4  346.1  342.6
  300.0   9700  -30.1  -32.1     83   0.87    130      6  342.8  346.2  343.0
  295.0   9816  -31.0  -33.1     82   0.81    135      8  343.2  346.3  343.3
  268.0  10480  -36.4  -38.5     81   0.51     85     12  344.9  347.0  345.0
  250.0  10960  -40.3  -42.5     79   0.36     80     19  346.0  347.5  346.1
  200.0  12440  -53.7  -55.5     80   0.10     75     23  347.6  348.0  347.6
  162.0  13744  -65.9  -67.6     79   0.03     85     27  348.7  348.8  348.7
  150.0  14220  -70.3  -72.0     78   0.02     85     29  348.8  348.9  348.8
  134.0  14875  -75.3  -77.2     74   0.01     70     53  351.4  351.4  351.4
  126.0  15232  -78.0  -80.1     72   0.01     65     56  352.7  352.7  352.7
  124.0  15325  -78.7  -80.8     71   0.00     65     54  353.1  353.1  353.1
  118.0  15607  -77.7  -79.8     72   0.01     68     37  359.9  360.0  359.9
  113.0  15858  -73.5  -75.4     76   0.01     70     23  372.1  372.2  372.1
  112.0  15909  -72.7  -74.5     76   0.01     85     17  374.7  374.8  374.7
  111.0  15962  -72.8  -74.7     76   0.01    100     10  375.4  375.4  375.4
  109.0  16068  -73.1  -75.0     76   0.01    175      6  376.8  376.9  376.8
  100.0  16570  -74.5  -76.4     75   0.01    235     16  383.5  383.6  383.5
   98.2  16676  -75.5  -77.5     73   0.01    250     14  383.6  383.6  383.6
   91.8  17068  -75.3  -77.2     75   0.01    277      5  391.4  391.5  391.4
   90.0  17185  -73.9  -75.8     76   0.01    285      2  396.4  396.5  396.4
   87.0  17386  -71.6  -73.4     77   0.02     85     23  404.9  405.1  404.9
   86.0  17454  -70.8  -72.5     78   0.02     85     33  407.9  408.0  407.9
   84.4  17565  -69.5  -71.2     78   0.03     88     29  412.7  412.9  412.7
   79.0  17962  -69.0  -70.7     79   0.04    100     14  421.6  421.8  421.6
   78.0  18039  -68.9  -70.6     79   0.04    130      6  423.3  423.6  423.4
   76.0  18195  -68.7  -70.4     79   0.04    200      6  426.9  427.1  426.9
   74.0  18356  -68.5  -70.2     79   0.04    245      4  430.6  430.8  430.6
   72.0  18521  -68.3  -69.9     80   0.04    345      4  434.4  434.7  434.4
   71.0  18605  -68.2  -69.8     80   0.04    345      2  436.4  436.6  436.4
   70.0  18690  -68.1  -69.7     80   0.05     65      4  438.4  438.6  438.4
   68.8  18794  -68.5  -70.2     79   0.04     86      5  439.7  439.9  439.7
   68.0  18865  -67.4  -69.1     79   0.05    100      6  443.5  443.8  443.5
   67.0  18956  -66.1  -67.7     80   0.06    225     12  448.3  448.7  448.3
   64.3  19206  -62.3  -63.7     83   0.11    248     26  461.8  462.5  461.9
   63.0  19333  -62.3  -63.7     83   0.12    260     33  464.5  465.2  464.6
   56.2  20039  -62.3  -63.7     83   0.13    298     19  479.9  480.8  480.0
   56.1  20050  -62.5  -63.7     85   0.13    298     19  479.7  480.6  479.8
