   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
  980.0     16  -17.7  -24.7     54   0.53    295     10  256.9  258.4  257.0
  977.0     38  -18.7  -23.7     65   0.58    290     10  256.1  257.8  256.2
  938.0    334  -21.1  -26.1     64   0.49    223      6  256.7  258.1  256.8
  925.0    435  -21.7  -27.7     58   0.43    200      5  257.1  258.4  257.2
  898.0    653  -22.1  -33.1     36   0.26    195      3  258.9  259.7  258.9
  870.0    884  -23.8  -33.7     40   0.26    190      1  259.4  260.2  259.5
  850.0   1054  -25.1  -34.1     43   0.25    120      4  259.8  260.6  259.9
  826.0   1260  -26.4  -35.1     44   0.23    120     10  260.6  261.3  260.6
  804.0   1454  -27.7  -36.1     44   0.22    130     12  261.2  261.9  261.3
  772.0   1746  -29.6  -37.6     46   0.20    215     10  262.3  262.9  262.3
  770.0   1765  -29.7  -37.7     46   0.19    213     11  262.3  262.9  262.4
  751.0   1944  -26.8  -40.8     25   0.14    195     18  267.4  267.9  267.4
  748.0   1973  -26.3  -41.3     23   0.14    196     18  268.2  268.6  268.2
  745.0   2002  -24.5  -44.5     14   0.10    197     18  270.5  270.8  270.5
  721.0   2240  -25.3  -46.3     12   0.08    204     19  272.1  272.4  272.1
  700.0   2454  -26.7  -48.7     11   0.07    210     19  272.9  273.1  272.9
  691.0   2547  -27.0  -49.6     10   0.06    205     20  273.6  273.8  273.6
  669.0   2779  -27.7  -51.9      8   0.05    230     23  275.3  275.4  275.3
  650.0   2986  -28.4  -54.0      7   0.04    215     25  276.8  276.9  276.8
  593.0   3645  -30.5  -60.5      4   0.02    228     31  281.7  281.8  281.7
  572.0   3902  -30.1  -62.1      3   0.02    233     33  285.1  285.2  285.1
  508.0   4738  -35.6  -63.2      4   0.02    250     41  288.3  288.4  288.3
  500.0   4850  -36.3  -63.3      4   0.02    250     42  288.7  288.8  288.7
  454.0   5511  -40.5  -65.5      5   0.01    245     52  291.5  291.6  291.5
  422.0   6004  -44.3  -52.3     41   0.07    240     59  292.8  293.1  292.8
  419.0   6051  -44.5  -57.5     22   0.04    240     60  293.2  293.3  293.2
  407.0   6245  -45.4  -61.5     15   0.02    235     55  294.5  294.6  294.5
  400.0   6360  -45.9  -63.9     11   0.02    240     55  295.3  295.3  295.3
  396.0   6427  -46.5  -59.5     21   0.03    240     55  295.3  295.4  295.3
  300.0   8220  -58.5  -72.5     15   0.01    245     55  302.8  302.8  302.8
  263.0   9039  -62.9  -80.9      7   0.00    245     49  307.9  307.9  307.9
  255.0   9228  -63.5  -80.9      8   0.00    245     47  309.8  309.8  309.8
  250.0   9350  -63.9  -80.9      8   0.00    245     49  310.9  311.0  310.9
  214.0  10293  -68.1  -84.1      9   0.00    255     53  318.5  318.6  318.5
  200.0  10700  -67.3  -86.3      5   0.00    260     56  326.0  326.0  326.0
  193.0  10914  -67.7  -86.5      5   0.00    260     57  328.8  328.8  328.8
  178.0  11401  -68.5  -87.1      5   0.00    245     59  335.1  335.1  335.1
  150.0  12430  -70.3  -88.3      6   0.00    260     60  348.8  348.8  348.8
  100.0  14800  -74.3  -90.3      7   0.00    265     75  383.9  383.9  383.9
   70.0  16870  -75.3  -91.3      7   0.00    265     82  423.0  423.0  423.0
   65.6  17245  -76.5  -92.5      7   0.00    266     85  428.3  428.3  428.3
   53.0  18481  -74.5  -91.5      6   0.00    269     93  459.8  459.8  459.8
   50.0  18820  -75.5  -91.5      7   0.00    270     95  465.2  465.2  465.2
   44.1  19543  -77.5  -92.5      8   0.00    270    105  477.3  477.3  477.3
   43.0  19688  -77.4  -92.6      7   0.00    270    107  481.0  481.0  481.0
   34.0  21039  -76.3  -93.5      5   0.00    270    102  517.2  517.2  517.2
   30.9  21589  -75.9  -93.9      5   0.00    270    115  532.7  532.7  532.7
   30.0  21760  -74.5  -93.5      4   0.00    270    119  541.0  541.0  541.0
   26.0  22604  -72.5  -93.3      3   0.00    280    135  569.2  569.2  569.2
   25.0  22835  -72.0  -93.2      3   0.00    275    129  577.1  577.2  577.1
   20.0  24150  -68.9  -92.9      2   0.00    270    137  624.6  624.6  624.6
   19.7  24240  -68.7  -92.7      2   0.00    271    138  627.9  627.9  627.9
   18.6  24589  -63.3  -91.3      1   0.01    273    144  655.1  655.2  655.1
   18.0  24794  -62.5  -90.8      1   0.01    275    147  663.8  663.8  663.8
   17.6  24935  -62.0  -90.5      1   0.01    275    147  669.8  669.8  669.8
   17.0  25152  -61.1  -90.0      1   0.01    275    125  679.1  679.1  679.1
   16.0  25531  -59.7  -89.1      1   0.01    275    133  695.6  695.7  695.6
   15.0  25935  -58.2  -88.1      1   0.01    275    116  713.7  713.8  713.7
   14.0  26367  -56.5  -87.1      1   0.01    270    128  733.5  733.6  733.5
   13.3  26688  -55.3  -86.3      1   0.02    273    120  748.5  748.7  748.5
