-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1021.0      8   22.2    4.2     31   5.09    295     22  293.6  308.7  294.5
 1018.0     34   21.0    4.5     34   5.21    290     12  292.7  308.0  293.6
 1017.0     42   20.6    4.6     35   5.25    290     12  292.3  307.8  293.3
 1000.0    188   19.4    4.4     37   5.27    290     20  292.6  308.1  293.5
  969.0    457   16.7    4.0     43   5.27    290     23  292.5  308.0  293.4
  959.0    545   15.8    3.8     45   5.27    281     27  292.4  307.9  293.4
  953.0    598   15.4    1.4     39   4.46    276     29  292.6  305.8  293.3
  928.0    824   16.6   -3.4     25   3.22    253     39  296.0  305.9  296.6
  925.0    851   16.2   -3.8     25   3.13    250     40  295.9  305.5  296.4
  922.0    878   16.0   -4.1     25   3.07    245     40  296.0  305.4  296.5
  861.0   1456   12.2  -10.8     19   1.96    228     33  297.8  304.0  298.2
  850.0   1564   12.0  -12.0     17   1.80    225     32  298.7  304.5  299.0
  835.0   1713   11.8  -13.9     15   1.57    220     28  300.0  305.1  300.3
  824.0   1824   11.6  -15.4     14   1.41    224     27  300.9  305.6  301.2
  819.0   1874   11.8  -17.2     12   1.22    225     26  301.7  305.7  301.9
  804.0   2027   10.4  -18.8     11   1.08    230     25  301.8  305.4  302.0
  750.0   2601    5.2  -24.8      9   0.69    251     32  302.2  304.6  302.3
  739.0   2721    4.6  -27.5      8   0.54    255     34  302.9  304.8  303.0
  700.0   3161    2.6  -37.4      3   0.22    255     37  305.3  306.1  305.4
  672.0   3489    1.2  -47.8      1   0.08    249     40  307.4  307.6  307.4
  629.0   4013   -1.7  -44.7      2   0.11    240     46  309.9  310.3  309.9
  583.0   4615   -5.1  -41.1      4   0.18    255     44  312.7  313.4  312.8
  570.0   4790   -6.5  -42.2      4   0.16    260     44  313.1  313.7  313.1
  544.0   5153   -9.5  -44.5      4   0.13    256     46  313.7  314.3  313.8
  538.0   5238   -8.7  -45.7      3   0.12    256     47  315.7  316.2  315.7
  507.0   5694  -11.9  -34.9     13   0.39    251     50  317.2  318.7  317.3
  501.0   5785  -12.9  -22.9     43   1.22    250     51  317.1  321.3  317.3
  500.0   5800  -13.1  -22.1     47   1.31    250     51  317.0  321.6  317.3
  482.0   6079  -15.5  -21.5     60   1.43    251     53  317.4  322.4  317.7
  479.0   6127  -15.9  -22.9     55   1.27    251     53  317.5  321.9  317.7
  475.0   6190  -16.1  -47.1      5   0.12    251     53  318.0  318.4  318.0
  441.0   6748  -19.1  -42.1     11   0.22    253     57  321.0  321.9  321.0
  430.0   6937  -20.5  -25.5     64   1.12    254     58  321.6  325.6  321.8
  419.0   7129  -22.1  -31.1     44   0.68    254     59  321.9  324.4  322.0
  409.0   7306  -23.1  -30.6     51   0.74    255     60  322.8  325.5  322.9
  400.0   7470  -24.1  -30.1     58   0.79    255     64  323.6  326.5  323.7
  389.0   7672  -25.9  -32.9     52   0.62    254     68  323.8  326.1  323.9
  379.0   7860  -26.1  -39.1     28   0.34    253     72  326.0  327.3  326.0
  359.0   8249  -29.1  -37.1     46   0.44    251     80  327.0  328.8  327.1
  319.0   9083  -33.3  -49.3     19   0.13    246     98  332.4  333.0  332.5
  311.0   9260  -34.6  -51.9     16   0.10    245    102  333.0  333.4  333.0
  300.0   9510  -36.5  -55.5     12   0.07    245    103  333.8  334.1  333.8
  291.0   9721  -38.1  -57.1     12   0.06    244    105  334.4  334.7  334.5
  250.0  10750  -46.3  -55.3     35   0.08    240    117  337.1  337.5  337.1
  247.0  10830  -46.9  -56.9     31   0.07    240    118  337.4  337.7  337.4
  244.0  10911  -47.5  -54.5     44   0.10    240    118  337.6  338.1  337.7
  240.0  11020  -47.5  -51.3     65   0.14    240    119  339.2  339.9  339.3
  233.0  11214  -48.9  -52.6     65   0.13    240    121  340.0  340.6  340.0
  203.0  12105  -55.3  -61.3     47   0.05    240    128  343.6  343.8  343.6
  200.0  12200  -55.7  -69.7     16   0.02    240    129  344.4  344.5  344.4
  199.0  12232  -55.9  -69.1     18   0.02    240    129  344.5  344.6  344.5
  194.0  12393  -57.1  -66.1     31   0.03    240    127  345.2  345.3  345.2
  184.0  12725  -59.1  -74.1     13   0.01    241    122  347.2  347.2  347.2
  170.0  13217  -60.9  -78.9      8   0.00    243    115  352.1  352.2  352.1
  151.0  13949  -62.1  -82.1      5   0.00    245    105  362.2  362.2  362.2
  150.0  13990  -61.9  -81.9      5   0.00    245    104  363.2  363.3  363.2
  140.0  14413  -63.5  -82.8      6   0.00    240     86  367.7  367.7  367.7
  127.0  15011  -65.8  -84.1      6   0.00    250     78  374.0  374.0  374.0
  123.0  15208  -66.5  -84.5      6   0.00    245     83  376.1  376.1  376.1
  116.0  15566  -64.8  -85.2      4   0.00    245     69  385.6  385.7  385.6
  112.0  15780  -63.7  -85.7      4   0.00    245     74  391.5  391.5  391.5
  104.0  16243  -57.5  -85.5      2   0.00    229     45  411.7  411.7  411.7
  100.0  16490  -59.1  -86.1      2   0.00    220     29  413.3  413.3  413.3
   84.0  17556  -67.3  -89.1      3   0.00    245     30  417.7  417.7  417.7
   81.9  17711  -68.5  -89.5      4   0.00    260     31  418.3  418.3  418.3
   81.0  17778  -67.8  -89.4      3   0.00    260     34  421.2  421.2  421.2
   77.0  18086  -64.3  -88.8      2   0.00    260     39  434.5  434.5  434.5
   73.7  18352  -61.3  -88.3      2   0.00    237     32  446.3  446.3  446.3
   72.0  18496  -61.8  -88.3      2   0.00    225     29  448.3  448.3  448.3
   70.0  18670  -62.3  -88.3      2   0.00    235     20  450.8  450.8  450.8
   69.0  18759  -62.9  -88.5      2   0.00    245     16  451.4  451.4  451.4
   68.0  18849  -63.5  -88.6      2   0.00    250     15  452.0  452.0  452.0
   67.6  18885  -63.7  -88.7      2   0.00    258     15  452.2  452.3  452.2
   67.0  18940  -63.0  -88.6      2   0.00    270     15  455.0  455.0  455.0
   64.0  19225  -59.3  -88.1      1   0.00    220     22  469.0  469.1  469.0
   63.0  19323  -58.0  -87.9      1   0.00    210     21  473.9  474.0  473.9
   62.9  19333  -57.9  -87.9      1   0.00    210     21  474.4  474.5  474.4
   59.0  19734  -60.6  -87.7      2   0.00    215     10  477.1  477.1  477.1
   58.9  19745  -60.7  -87.7      2   0.00    216     10  477.1  477.2  477.1
   57.0  19951  -58.5  -87.0      1   0.00    245     10  486.7  486.7  486.7
   56.0  20063  -57.3  -86.6      1   0.00    235     10  491.9  491.9  491.9
   55.2  20153  -56.3  -86.3      1   0.00    263      4  496.1  496.2  496.1
   55.0  20176  -56.4  -86.3      1   0.00    270      2  496.4  496.5  496.5
   53.0  20411  -57.3  -86.6      1   0.00    290     10  499.7  499.7  499.7
   52.1  20519  -57.7  -86.7      1   0.00    290     10  501.1  501.2  501.1
   52.0  20531  -57.6  -86.7      1   0.00    290     10  501.6  501.6  501.6
   50.0  20780  -55.9  -86.9      1   0.00    235      6  511.3  511.3  511.3
   49.0  20909  -54.6  -86.0      1   0.00    140     10  517.3  517.4  517.3
   48.0  21042  -53.3  -85.2      1   0.01    110     12  523.5  523.5  523.5
   47.7  21082  -52.9  -84.9      1   0.01    113     12  525.4  525.4  525.4
   44.0  21600  -53.8  -85.0      1   0.01    155     11  535.5  535.5  535.5
   42.0  21899  -54.3  -85.0      1   0.01    140     22  541.4  541.5  541.4
   41.0  22054  -54.5  -85.0      1   0.01    130     20  544.5  544.5  544.5
   39.0  22375  -55.1  -85.1      1   0.01    100     13  551.0  551.0  551.0
   35.0  23070  -54.1  -84.9      1   0.01     95     15  570.8  570.9  570.8
   34.0  23256  -53.8  -84.9      1   0.01     70     19  576.3  576.4  576.3
   30.0  24060  -52.7  -84.7      1   0.01     65     20  600.4  600.5  600.4
   29.0  24279  -52.2  -84.6      1   0.01     40     22  607.5  607.5  607.5
   27.4  24646  -51.5  -84.5      1   0.01     60     16  619.5  619.6  619.5
   27.0  24741  -51.6  -84.5      1   0.01     65     15  621.9  622.0  621.9
   26.0  24985  -51.8  -84.6      1   0.01    105     16  628.0  628.1  628.0
   23.0  25777  -52.5  -84.9      1   0.01    110     17  648.3  648.4  648.3
   21.0  26365  -53.0  -85.2      1   0.01     90     29  663.8  664.0  663.8
   20.0  26680  -53.3  -85.3      1   0.01     85     29  672.3  672.4  672.3
   19.0  27011  -52.5  -85.2      1   0.01     85     30  684.6  684.8  684.7
