Pressure (hPa), ICAO Height (m), Temperature (C), Dew Point (C), Wind Direction (degree), Wind Speed (knots)
1004, 5, 31.8, -2.2, 320, 16
1001, 34, 29.2, -1.8, 324, 14
1000, 44, 29, -2, 325, 13
927, 709, 22.8, -2.4, 310, 20
925, 728, 22.6, -2.4, 310, 21
899, 974, 20, -3, 302, 24
850, 1453, 16.6, -9.4, 285, 30
819, 1768, 14.6, -11.4, 272, 31
804, 1923, 13.8, -16.8, 265, 32
749, 2517, 10.6, -37.4, 274, 38
718, 2865, 7.7, -31.5, 280, 42
700, 3075, 6, -28, 280, 41
688, 3216, 4.8, -29.2, 281, 38
646, 3728, 2.8, -26.6, 285, 28
643, 3765, 2.6, -26.4, 286, 28
628, 3956, 1, -34, 289, 29
599, 4332, -2, -35.3, 295, 32
578, 4616, -4.3, -36.3, 285, 35
550, 5004, -7.6, -24.5, 270, 39
534, 5235, -9.5, -17.5, 270, 40
502, 5710, -12.9, -22.9, 270, 42
500, 5740, -13.1, -23.1, 270, 42
417, 7089, -25.5, -27.9, 265, 48
416, 7106, -25.6, -28.1, 265, 48
409, 7229, -26.7, -29.8, 267, 54
408, 7247, -26.7, -30.8, 267, 55
405, 7300, -25.7, -36.7, 268, 58
400, 7390, -26.3, -37.3, 270, 62
392, 7536, -25.9, -55.9, 273, 68
386, 7648, -26.2, -55.3, 275, 73
366, 8032, -27.1, -53.1, 275, 79
347, 8414, -29.9, -49.9, 275, 85
300, 9440, -34.9, -58.9, 275, 102
250, 10680, -42.9, -62.9, 265, 109
231, 11211, -46.7, -64.7, 265, 114
228, 11299, -46.1, -69.1, 265, 115
225, 11386, -46.9, -69.2, 265, 116
200, 12160, -53.7, -69.7, 260, 113
192, 12421, -54.9, -74.9, 260, 114
179, 12858, -58.5, -74.5, 260, 117
161, 13519, -63.9, -73.9, 266, 113
150, 13950, -65.5, -79.5, 270, 110
127, 14945, -71.9, -85, 265, 110
125, 15040, -72.5, -85.5, 260, 106
116, 15482, -71.6, -86.3, 270, 89
110, 15796, -71, -86.9, 270, 98
100, 16360, -69.9, -87.9, 260, 70
92, 16854, -71.1, -89.1, 280, 59
90, 16945, -71.3, -89.3, 272, 54
86, 17257, -65.6, -91.5, 245, 37
85, 17263, -65.5, -91.5, 245, 37
82, 17522, -67.1, -90.1, 261, 32
77, 17916, -66.9, -90.9, 285, 24
76, 18004, -64.9, -91, 290, 22
74, 18167, -61.3, -91.3, 265, 11
72, 18336, -61.8, -90.8, 285, 14
70, 18510, -62.3, -90.3, 285, 17
68, 18688, -63.4, -90.7, 295, 24
67, 18760, -63.9, -90.9, 302, 21
65, 18965, -63.5, -90.8, 320, 12
61, 19356, -62.7, -90.6, 285, 14
58, 19666, -62, -90.5, 325, 16
57, 19773, -61.8, -90.5, 325, 17
56, 19882, -61.6, -90.4, 295, 10
54, 20106, -61.1, -90.3, 280, 3
50, 20580, -60.1, -90.1, 35, 9
41, 21831, -58.5, -89.7, 15, 1
38, 22310, -58, -89.6, 70, 10
36, 22651, -57.5, -89.5, 60, 21
35, 22828, -57.3, -89.4, 50, 18
34, 23011, -57.1, -89.3, 75, 16
33, 23199, -56.9, -89.3, 55, 16
31, 23593, -56.4, -89.2, 65, 10
30, 23800, -56.1, -89.1, 100, 11
28, 24242, -55.6, -88.9, 75, 17
27, 24476, -55.3, -88.8, 65, 16
25, 24969, -54.7, -88.6, 80, 17
23, 25504, -54, -88.3, 50, 11
22, 25789, -53.6, -88.2, 50, 10
21, 26087, -53.3, -88, 75, 6
20, 26400, -52.9, -87.9, 75, 7
19, 26732, -52.3, -87.9, 110, 11
17, 27453, -51, -87.9, 85, 21
16, 27491, -50.9, -87.9, 0, 0
