Pressure (hPa), ICAO Height (m), Temperature (C), Dew Point (C), Wind Direction (degree), Wind Speed (knots)
1021, 35, 11.2, 9.6, 25, 11
1013, 99, 14.2, 8.2, 65, 8
1005, 165, 15, 9, 105, 4
1000, 206, 15, 9, 130, 2
999, 214, 15, 8.9, 130, 2
984, 343, 14.4, 7.4, 143, 4
980, 377, 14.2, 7.2, 147, 4
934, 780, 10.4, 6.5, 190, 10
925, 861, 9.6, 6.4, 190, 12
902, 1069, 7.9, 5.9, 190, 17
868, 1386, 5.2, 5.2, 197, 15
852, 1538, 4.3, 4.3, 200, 14
850, 1557, 4.2, 4.2, 200, 14
828, 1770, 2.7, 2.1, 195, 14
818, 1868, 2, 1.2, 181, 13
814, 1908, 4.6, -7.6, 175, 12
813, 1918, 5.2, -9.8, 175, 12
800, 2050, 6.2, -14.8, 177, 12
745, 2627, 3, -20.1, 185, 14
700, 3131, 0.2, -24.8, 225, 8
614, 4165, -6.9, -40.9, 256, 12
605, 4280, -7.3, -43.3, 260, 13
571, 4728, -9.1, -52.5, 240, 26
564, 4823, -9.5, -54.5, 244, 30
553, 4975, -9.1, -57.1, 250, 36
537, 5201, -9.7, -54.9, 260, 46
525, 5375, -10.1, -53.2, 270, 43
508, 5628, -10.7, -50.7, 267, 41
500, 5750, -11.3, -51.3, 265, 40
491, 5888, -12.1, -49.1, 260, 41
470, 6220, -13.8, -43.8, 245, 50
445, 6635, -16.1, -37.1, 248, 64
419, 7085, -19.3, -25.3, 252, 80
400, 7430, -20.1, -23.7, 255, 92
396, 7504, -20.4, -24.1, 260, 93
391, 7599, -20.9, -24.6, 262, 92
379, 7828, -22.7, -25.4, 267, 88
372, 7963, -23.9, -26.1, 270, 86
336, 8700, -30.1, -30.1, 270, 94
324, 8959, -31.1, -35.4, 270, 96
310, 9271, -33.5, -38.5, 270, 100
300, 9500, -35.5, -38.5, 270, 102
292, 9688, -37.2, -39.3, 270, 105
288, 9783, -38.1, -39.7, 269, 109
287, 9807, -38.3, -41, 269, 110
283, 9904, -37.7, -41.9, 268, 113
280, 9978, -38.1, -40.8, 268, 116
268, 10281, -36.5, -58.5, 265, 128
266, 10332, -36.9, -58.9, 265, 130
250, 10760, -40.1, -62.1, 265, 123
240, 11031, -42.5, -63.2, 270, 119
200, 12240, -53.1, -68.1, 270, 126
176, 13048, -60.6, -70.7, 265, 126
171, 13230, -62.3, -71.3, 266, 122
153, 13909, -66.9, -75.9, 270, 107
150, 14030, -67.7, -76.7, 275, 108
138, 14528, -71.1, -79.1, 278, 112
128, 14971, -72.8, -81.6, 280, 115
126, 15064, -73.1, -82.1, 277, 113
117, 15497, -74.5, -83.5, 265, 104
100, 16420, -70.5, -87.5, 260, 77
90, 16995, -72.9, -88.9, 262, 62
82, 17596, -70, -88.7, 265, 47
70, 18540, -65.5, -88.5, 250, 41
64, 19065, -64.9, -88.9, 243, 41
62, 19279, -63.1, -88.2, 240, 41
59, 19584, -60.5, -87.3, 260, 28
58, 19637, -60.1, -87.1, 263, 29
55, 20017, -62.8, -87.9, 285, 33
53, 20221, -64.3, -88.3, 270, 36
50, 20600, -63.9, -88.9, 250, 43
46, 21116, -60.4, -88, 220, 34
45, 21183, -59.9, -87.9, 224, 33
44, 21391, -60.9, -88.1, 235, 28
41, 21724, -62.5, -88.5, 239, 31
39, 22142, -57.3, -86.3, 243, 34
38, 22307, -56.6, -86.1, 245, 35
37, 22477, -55.9, -85.9, 235, 35
36, 22651, -55.2, -85.7, 235, 27
35, 22830, -54.5, -85.5, 262, 22
34, 23015, -55.1, -85.6, 290, 17
33, 23204, -55.7, -85.8, 280, 15
30, 23664, -57.1, -86.1, 269, 23
30, 23810, -56.9, -85.9, 265, 26
29, 24026, -56.2, -85.6, 250, 24
27, 24480, -54.7, -85, 275, 33
25, 24844, -53.5, -84.5, 277, 38
23, 25505, -53.8, -84.3, 280, 48
20, 26400, -54.1, -84.1, 270, 43
19, 26728, -54.8, -84.8, 290, 47
18, 26864, -55.1, -85.1, 284, 48
18, 27076, -54.3, -84.9, 275, 49
17, 27446, -53, -84.4, 295, 54
16, 27838, -51.5, -84, 275, 60
15, 28256, -50, -83.5, 280, 61
14, 28430, -49.3, -83.3, 0, 0
